id,sourceRef,som_bmu_row,som_bmu_col,som_bmu_distance,cluster_size,cluster_avg_reward,reward_avg,reward_count,reward_rank
092dfc3f25d2164f,docs\documents-atlas-index.md#chunk-1219,10,14,1.080122,36,,,0,341
0935366cf26305e5,,19,10,0.864493,64,,,0,342
094a6b8774d48de9,,13,10,0.917854,19,,,0,343
0950be21f18f7495,,19,5,0.772129,196,,,0,344
09535d63247e6fe3,,19,2,0.835789,48,,,0,345
09710e28a13215f7,,16,9,0.93959,18,,,0,346
0986e4da4a0c5fbc,,9,19,0.928406,70,,,0,347
09880ca59d8c75be,,19,5,0.987633,196,,,0,348
098a16a6343fe0b9,docs\documents-atlas-index.md#chunk-632,19,11,0.862052,51,,,0,349
09929897416909cb,,10,19,0.724014,49,,,0,350
0995afe6577e42a0,,19,5,0.888331,196,,,0,351
09a90856bf5256e0,,,3,0.804472,,,,0,352
09b234c8545c6a0e,,,19,0.92277,,,,0,353
09bd12f08be091e4,,,,1.112989,,,,0,354
09c9d0481f5d997e,,1,19,0.869783,95,,,0,355
09ccace457973659,,7,3,0.893531,7,,,0,356
09cd5259a2272185,,4,4,0.791434,12,,,0,357
09d43e0963e2b96c,,3,,0.823843,,,,0,358
09d8f7abd972946d,,4,16,0.842273,10,,,0,359
09daf410d57f5082,,7,4,0.975866,7,,,0,360
09df40a529f8a900,,,5,1.043555,,,,0,361
09e6c552543ded98,,,15,0.817368,,,,0,362
09fad4599e3be351,,,15,0.955461,,,,0,363
0a04b7433cb0fc47,,9,14,1.002538,22,,,0,364
0a0d4d3cb0871d93,docs\documents-atlas-index.md#chunk-1121,12,5,0.933405,5,,,0,365
0a0ea41ad315a081,docs\documents-atlas-index.md#chunk-99,17,9,1.000022,22,,,0,366
0a11e0b08dfce97d,,19,6,1.118657,170,,,0,367
0a12083629f38748,docs\documents-atlas-index.md#chunk-1305,17,14,0.8868,54,,,0,368
0a15f18db163cc42,,8,14,1.025138,18,,,0,369
0a1a8dc75658a9d1,,17,11,0.897794,76,,,0,370
0a233dd885228215,,17,11,0.847361,76,,,0,371
0a2612de22adefb1,,17,14,1.079654,54,,,0,372
0a2f98a114fa2196,,17,14,0.940883,54,,,0,373
0a378d11088a400e,,19,3,0.963383,52,,,0,374
0a40513e5dba2719,docs\documents-atlas-index.md#chunk-1102,,,0.996321,,,,0,375
0a42990bb65dbe74,,19,8,0.934541,183,,,0,376
0a488b0ecc65ea7a,,12,9,1.010118,8,,,0,377
0a4db797c8812070,,17,3,0.896456,25,,,0,378
0a4ee5bf585365e9,,17,16,0.94836,14,,,0,379
0a5036aa8ff10927,,17,14,1.066217,54,,,0,380
0a5bb4bee759f767,,17,10,0.956146,30,,,0,381
0a5de06bf60810cc,,14,18,1.041568,16,,,0,382
0a6f11909ade67a2,,17,,0.978649,,,,0,383
0a79de13c6a24943,,11,,0.872442,,,,0,384
0a8cf6b1c229d37f,docs\documents-atlas-index.md#chunk-479,17,11,0.987142,76,,,0,385
0a9076a2c818834c,,17,12,0.885777,7,,,0,386
0a960e4e6853d326,,1,1,0.951399,8,,,0,387
0a986554448d9211,,19,8,0.86717,183,,,0,388
0aa45e368a8a1ef4,,1,,1.003907,,,,0,389
0aaad4bb45cf05a5,,16,16,1.141958,16,,,0,390
0ab26933d1610440,,,4,0.821817,,,,0,391
0ac00ea06cfdf475,,1,,1.023435,,,,0,392
0ac2abf60981be96,,,12,0.824005,,,,0,393
0ad5d65e071aafaf,,1,19,0.988185,95,,,0,394
0aee082773cf387e,,6,,1.021237,,,,0,395
0af0a91540c9c47f,,,19,0.891441,,,,0,396
0af38aea3b8cc527,,,,1.009685,,,,0,397
0afb4d625a4105b9,,2,,0.943675,,,,0,398
0afb74bf6d0a0e1c,,,19,1.08741,,,,0,399
0afd02430e69776a,,,19,0.911038,,,,0,400
0b03a2fb122ae296,,19,9,1.06927,88,,,0,401
0b09147fd0dbcd6a,docs\documents-atlas-index.md#chunk-1027,15,12,1.026219,14,,,0,402
0b17cc89abb76aa9,,14,,0.857861,,,,0,403
0b18fc4762e70cd4,,18,,0.959892,,,,0,404
